2023-07-17 00:04:33.877 | mainraceId | DEBUG | 9188 | main | org.springframework.context.annotation.ClassPathScanningCandidateComponentProvider.scanCandidateComponents(ClassPathScanningCandidateComponentProvider.java:435) : Identified candidate component class: URL [jar:file:/E:/htmldemo/bookpackage/springboot_13_study-1.0-SNAPSHOT.jar!/BOOT-INF/classes!/com/shubao/service/StudyService.class]
2023-07-17 00:04:34.458 | mainraceId | DEBUG | 9188 | main | org.springframework.beans.factory.support.DefaultSingletonBeanRegistry.getSingleton(DefaultSingletonBeanRegistry.java:225) : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.AutoConfigurationPackages'
2023-07-17 00:04:34.459 | mainraceId | DEBUG | 9188 | main | org.springframework.boot.autoconfigure.AutoConfigurationPackages$BasePackages.get(AutoConfigurationPackages.java:196) : @EnableAutoConfiguration was declared on a class in the package 'com.shubao'. Automatic @Repository and @Entity scanning is enabled.
2023-07-17 00:04:34.477 | mainraceId | DEBUG | 9188 | main | com.baomidou.mybatisplus.autoconfigure.MybatisPlusAutoConfiguration$AutoConfiguredMapperScannerRegistrar.registerBeanDefinitions(MybatisPlusAutoConfiguration.java:309) : Searching for mappers annotated with @Mapper
2023-07-17 00:04:34.480 | mainraceId | DEBUG | 9188 | main | com.baomidou.mybatisplus.autoconfigure.MybatisPlusAutoConfiguration$AutoConfiguredMapperScannerRegistrar.lambda$registerBeanDefinitions$0(MybatisPlusAutoConfiguration.java:313) : Using auto-configuration base package 'com.shubao'
2023-07-17 00:04:34.644 | mainraceId | DEBUG | 9188 | main | org.springframework.beans.factory.support.DefaultSingletonBeanRegistry.getSingleton(DefaultSingletonBeanRegistry.java:225) : Creating shared instance of singleton bean 'org.mybatis.spring.mapper.MapperScannerConfigurer'
2023-07-17 00:04:34.650 | mainraceId | DEBUG | 9188 | main | org.springframework.beans.factory.support.DefaultSingletonBeanRegistry.getSingleton(DefaultSingletonBeanRegistry.java:225) : Creating shared instance of singleton bean 'propertySourcesPlaceholderConfigurer'
2023-07-17 00:04:34.669 | mainraceId | DEBUG | 9188 | main | org.apache.ibatis.logging.LogFactory.setImplementation(LogFactory.java:109) : Logging initialized using 'class org.apache.ibatis.logging.slf4j.Slf4jImpl' adapter.
2023-07-17 00:04:34.678 | mainraceId | DEBUG | 9188 | main | org.springframework.context.annotation.ClassPathScanningCandidateComponentProvider.scanCandidateComponents(ClassPathScanningCandidateComponentProvider.java:435) : Identified candidate component class: URL [jar:file:/E:/htmldemo/bookpackage/springboot_13_study-1.0-SNAPSHOT.jar!/BOOT-INF/classes!/com/shubao/dao/BibleMapper.class]
2023-07-17 00:04:34.679 | mainraceId | DEBUG | 9188 | main | org.springframework.context.annotation.ClassPathScanningCandidateComponentProvider.scanCandidateComponents(ClassPathScanningCandidateComponentProvider.java:435) : Identified candidate component class: URL [jar:file:/E:/htmldemo/bookpackage/springboot_13_study-1.0-SNAPSHOT.jar!/BOOT-INF/classes!/com/shubao/dao/BookDao.class]
2023-07-17 00:04:34.680 | mainraceId | DEBUG | 9188 | main | org.springframework.context.annotation.ClassPathScanningCandidateComponentProvider.scanCandidateComponents(ClassPathScanningCandidateComponentProvider.java:435) : Identified candidate component class: URL [jar:file:/E:/htmldemo/bookpackage/springboot_13_study-1.0-SNAPSHOT.jar!/BOOT-INF/classes!/com/shubao/dao/BookpackageLogMapper.class]
2023-07-17 00:04:34.681 | mainraceId | DEBUG | 9188 | main | org.springframework.context.annotation.ClassPathScanningCandidateComponentProvider.scanCandidateComponents(ClassPathScanningCandidateComponentProvider.java:435) : Identified candidate component class: URL [jar:file:/E:/htmldemo/bookpackage/springboot_13_study-1.0-SNAPSHOT.jar!/BOOT-INF/classes!/com/shubao/dao/ChinesePoetryMapper.class]
2023-07-17 00:04:34.683 | mainraceId | DEBUG | 9188 | main | org.springframework.context.annotation.ClassPathScanningCandidateComponentProvider.scanCandidateComponents(ClassPathScanningCandidateComponentProvider.java:435) : Identified candidate component class: URL [jar:file:/E:/htmldemo/bookpackage/springboot_13_study-1.0-SNAPSHOT.jar!/BOOT-INF/classes!/com/shubao/dao/StudyMapper.class]
2023-07-17 00:04:34.688 | mainraceId | DEBUG | 9188 | main | org.mybatis.logging.Logger.debug(Logger.java:49) : Creating MapperFactoryBean with name 'bibleMapper' and 'com.shubao.dao.BibleMapper' mapperInterface
2023-07-17 00:04:34.693 | mainraceId | DEBUG | 9188 | main | org.mybatis.logging.Logger.debug(Logger.java:49) : Creating MapperFactoryBean with name 'bookDao' and 'com.shubao.dao.BookDao' mapperInterface
2023-07-17 00:04:34.696 | mainraceId | DEBUG | 9188 | main | org.mybatis.logging.Logger.debug(Logger.java:49) : Creating MapperFactoryBean with name 'bookpackageLogMapper' and 'com.shubao.dao.BookpackageLogMapper' mapperInterface
